Security,Symbol,GICS Sector,GICS Sub Industry,Dividend Yield,Market Cap ($M),P/E Ratio
Target Corp.,TGT,Consumer Discretionary,General Merchandise Stores,0.035364,37775.534521,15.156779661
TE Connectivity Ltd.,TEL,Information Technology,Electronic Manufacturing Services,0.021958828,27159.182885,14.2696428571
TechnipFMC,FTI,Energy,Oil & Gas Equipment & Services,0.022317595,10488.399004,21.3971962617
Teleflex Inc,TFX,Health Care,Health Care Equipment,0.005058959,12361.37332,27.9770354906
Texas Instruments,TXN,Information Technology,Semiconductors,0.02949909,98683.142092,19.0847145488
Textron Inc.,TXT,Industrials,Aerospace & Defense,0.0015209125,12779.774479,15.5731343284
Thermo Fisher Scientific,TMO,Health Care,Health Care Equipment,0.002822748,96980.650424,22.2978424015
Tiffany & Co.,TIF,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.024752476,10834.219581,21.2832929782
"Twitter, Inc.",TWTR,Communication Services,Interactive Media & Services,0.0,25045.13385,82.25
TJX Companies Inc.,TJX,Consumer Discretionary,Apparel Retail,0.015960712,120956.06628,19.9959016393
Torchmark Corp.,TMK,Financials,Life & Health Insurance,0.0076858413,9287.969358,14.2332761578
Total System Services,TSS,Information Technology,Internet Software & Services,0.0058883476,16111.405951,21.7717121588
Tractor Supply Company,TSCO,Consumer Discretionary,Specialty Stores,0.013839285,10937.297638,21.5582524272
TransDigm Group,TDG,Industrials,Aerospace & Defense,0.0,18560.064339,24.6920084866
The Travelers Companies Inc.,TRV,Financials,Property & Casualty Insurance,0.024643943,32944.728,13.8948545861
TripAdvisor,TRIP,Communication Services,Interactive Media & Services,0.0,7878.647042,77.698630137
Twenty-First Century Fox Class A,FOXA,Communication Services,Movies & Entertainment,0.007311129,60119.083581,24.9390862944
Twenty-First Century Fox Class B,FOX,Communication Services,Movies & Entertainment,0.0073514396,90863.516254,
Tyson Foods,TSN,Consumer Staples,Packaged Foods & Meats,0.024703557,22201.664443,9.96753246753
UDR Inc,UDR,Real Estate,Residential REITs,0.030410185,11688.572323,22.0958549223
Ulta Beauty,ULTA,Consumer Discretionary,Specialty Stores,0.0,17243.226794,35.1227106227
U.S. Bancorp,USB,Financials,Diversified Banks,0.02881059,83018.692787,12.4743902439
Under Armour Class A,UAA,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.0,9612.975552,125.911764706
Under Armour Class C,UA,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.0,8738.661078,114.529411765
Union Pacific,UNP,Industrials,Railroads,0.019881951,118586.369492,20.2648171501
United Continental Holdings,UAL,Industrials,Airlines,0.0,22925.155626,9.20163043478
United Health Group Inc.,UNH,Health Care,Managed Health Care,0.013430331,257873.26731,20.6577311577
United Parcel Service,UPS,Industrials,Air Freight & Logistics,0.036100366,86635.774519,14.2550143266
"United Rentals, Inc.",URI,Industrials,Trading Companies & Distributors,0.0,10128.761095,7.70508890251
United Technologies,UTX,Industrials,Aerospace & Defense,0.02538641,99988.524318,14.9947506562
"Universal Health Services, Inc.",UHS,Health Care,Health Care Facilities,0.0030501753,12132.072333,14.2295081967
Unum Group,UNM,Financials,Life & Health Insurance,0.030258946,7518.385704,6.78968253968
V.F. Corp.,VFC,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.024431138,33133.333983,
Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing,0.04380095,34873.89441,12.8544303797
Varian Medical Systems,VAR,Health Care,Health Care Equipment,0.0,11939.004414,29.4716553288
Ventas Inc,VTR,Real Estate,Health Care REITs,0.05077687,22254.282319,15.4975369458
Verisign Inc.,VRSN,Information Technology,Internet Services & Infrastructure,0.0,20062.641685,40.6703431373
Verisk Analytics,VRSK,Industrials,Research & Consulting Services,0.0,19300.065331,29.9074550129
Verizon Communications,VZ,Communication Services,Integrated Telecommunication Services,0.0427305,233045.651696,12.4988764045
Vertex Pharmaceuticals Inc,VRTX,Health Care,Biotechnology,0.0,48428.247633,83.7209821429
Viacom Inc.,VIAB,Communication Services,Movies & Entertainment,0.027595723,10072.868647,7.07524271845
Visa Inc.,V,Information Technology,Internet Software & Services,0.007211365,315027.629152,29.6239130435
Vornado Realty Trust,VNO,Real Estate,Office REITs,0.039879155,12596.919894,16.7474747475
Vulcan Materials,VMC,Materials,Construction Materials,0.011114419,13306.458418,26.7598425197
Walmart,WMT,Consumer Staples,Hypermarkets & Super Centers,0.02145657,281635.910119,21.8775510204
Walgreens Boots Alliance,WBA,Consumer Staples,Drug Retail,0.024481847,67824.242071,11.7259136213
The Walt Disney Company,DIS,Communication Services,Movies & Entertainment,0.01584301,165599.506781,15.5988700565
Waste Management Inc.,WM,Industrials,Environmental & Facilities Services,0.019599578,40460.332862,24.1352040816
Waters Corporation,WAT,Health Care,Health Care Distributors,0.0,17357.889195,27.4549819928
Wec Energy Group Inc,WEC,Utilities,Electric Utilities,0.03322072,22414.970663,20.8225806452
WellCare,WCG,Health Care,Managed Health Care,0.0,13754.262368,27.6559633028
Wells Fargo,WFC,Financials,Diversified Banks,0.035906644,229660.569,10.9063876652
Welltower Inc.,WELL,Real Estate,Health Care REITs,0.04643715,28150.79246,18.6345679012
Western Digital,WDC,Information Technology,"Technology Hardware, Storage & Peripherals",0.0463392,12491.569534,3.20885149963
Western Union Co,WU,Information Technology,Internet Software & Services,0.041689525,8072.373688,9.89130434783
WestRock,WRK,Materials,Paper Packaging,0.04303618,10854.883694,10.181372549
Weyerhaeuser,WY,Real Estate,Specialized REITs,0.052918286,19254.440694,18.3920863309
Whirlpool Corp.,WHR,Consumer Discretionary,Household Appliances,0.036779404,7980.500954,8.59004092769
Williams Cos.,WMB,Energy,Oil & Gas Storage & Transportation,0.050993624,32285.155967,32.925
Willis Towers Watson,WLTW,Financials,Insurance Brokers,0.015123826,20619.951197,19.838790932
Wynn Resorts Ltd,WYNN,Consumer Discretionary,Casinos & Gaming,0.02531005,12888.776539,17.0767004342
Xcel Energy Inc,XEL,Utilities,Multi-Utilities,0.030075188,25978.740817,20.451417004
Xerox,XRX,Information Technology,"Technology Hardware, Storage & Peripherals",0.0407498,5847.45763,7.20178041543
Xilinx,XLNX,Information Technology,Semiconductors,0.013047024,27928.403921,40.0960854093
Xylem Inc.,XYL,Industrials,Industrial Machinery,0.012024049,12554.963253,24.9386281588
Yum! Brands Inc,YUM,Consumer Discretionary,Restaurants,0.015532305,28953.502103,24.8037634409
Zimmer Biomet Holdings,ZBH,Health Care,Health Care Equipment,0.008937715,21909.095565,14.0608465608
Zions Bancorp,ZION,Financials,Regional Banks,0.02465078,9130.12872,11.8634146341
Zoetis,ZTS,Health Care,Pharmaceuticals,0.0077458966,40689.385197,27.4917763158
